"gene_id","gene_name"
"gene-LOC106558637|LOC106558637","LOC106558637"
"gene-TRNAL-UAA|TRNAL-UAA","TRNAL-UAA"
"gene-LOC100856481|LOC100856481","LOC100856481"
"gene-LOC119870746|LOC119870746","LOC119870746"
"gene-UTRN|UTRN","UTRN"
"gene-LOC119869934|LOC119869934","LOC119869934"
"gene-LOC119869876|LOC119869876","LOC119869876"
"gene-LOC119870747|LOC119870747","LOC119870747"
"gene-LOC100687936|LOC100687936","LOC100687936"
"gene-LOC611761|LOC611761","LOC611761"
"gene-LOC484021|LOC484021","LOC484021"
"gene-EPM2A|EPM2A","EPM2A"
"gene-LOC119870748|LOC119870748","LOC119870748"
"gene-LOC111095602|LOC111095602","LOC111095602"
"gene-LOC100688092|LOC100688092","LOC100688092"
"gene-FBXO30|FBXO30","FBXO30"
"gene-LOC100688243|LOC100688243","LOC100688243"
"gene-SHPRH|SHPRH","SHPRH"
"gene-LOC111095616|LOC111095616","LOC111095616"
"gene-LOC111095614|LOC111095614","LOC111095614"
"gene-GRM1|GRM1","GRM1"
"gene-LOC102154181|LOC102154181","LOC102154181"
"gene-LOC102157054|LOC102157054","LOC102157054"
"gene-LOC111095623|LOC111095623","LOC111095623"
"gene-RAB32|RAB32","RAB32"
"gene-ADGB|ADGB","ADGB"
"gene-LOC102154590|LOC102154590","LOC102154590"
"gene-LOC111098512|LOC111098512","LOC111098512"
"gene-LOC102154803|LOC102154803","LOC102154803"
"gene-STXBP5|STXBP5","STXBP5"
"gene-LOC100688424|LOC100688424","LOC100688424"
"gene-SAMD5|SAMD5","SAMD5"
"gene-LOC111095675|LOC111095675","LOC111095675"
"gene-LOC119870750|LOC119870750","LOC119870750"
"gene-SASH1|SASH1","SASH1"
"gene-LOC100856689|LOC100856689","LOC100856689"
"gene-LOC111095701|LOC111095701","LOC111095701"
"gene-LOC102155455|LOC102155455","LOC102155455"
"gene-LOC119870656|LOC119870656","LOC119870656"
"gene-UST|UST","UST"
"gene-LOC111095723|LOC111095723","LOC111095723"
"gene-TAB2|TAB2","TAB2"
"gene-ZC3H12D|ZC3H12D","ZC3H12D"
"gene-PPIL4|PPIL4","PPIL4"
"gene-LOC106558649|LOC106558649","LOC106558649"
"gene-GINM1|GINM1","GINM1"
"gene-KATNA1|KATNA1","KATNA1"
"gene-LOC111090669|LOC111090669","LOC111090669"
"gene-LATS1|LATS1","LATS1"
"gene-NUP43|NUP43","NUP43"
"gene-PCMT1|PCMT1","PCMT1"
"gene-LRP11|LRP11","LRP11"
"gene-RAET1E|RAET1E","RAET1E"
"gene-LOC102156136|LOC102156136","LOC102156136"
"gene-LOC111090672|LOC111090672","LOC111090672"
"gene-LOC100683099|LOC100683099","LOC100683099"
"gene-LOC119869886|LOC119869886","LOC119869886"
"gene-LOC100682576|LOC100682576","LOC100682576"
"gene-PPP1R14C|PPP1R14C","PPP1R14C"
"gene-LOC119869949|LOC119869949","LOC119869949"
"gene-LOC119870659|LOC119870659","LOC119870659"
"gene-LOC111095759|LOC111095759","LOC111095759"
"gene-IYD|IYD","IYD"
"gene-LOC111095760|LOC111095760","LOC111095760"
"gene-PLEKHG1|PLEKHG1","PLEKHG1"
"gene-LOC119870751|LOC119870751","LOC119870751"
"gene-MTHFD1L|MTHFD1L","MTHFD1L"
"gene-LOC111095761|LOC111095761","LOC111095761"
"gene-LOC119870752|LOC119870752","LOC119870752"
"gene-AKAP12|AKAP12","AKAP12"
"gene-ZBTB2|ZBTB2","ZBTB2"
"gene-RMND1|RMND1","RMND1"
"gene-LOC119869943|LOC119869943","LOC119869943"
"gene-ARMT1|ARMT1","ARMT1"
"gene-CCDC170|CCDC170","CCDC170"
"gene-LOC111095762|LOC111095762","LOC111095762"
